epoch,accuracy,loss,mean_io_u_6,precision_6,recall_6,val_accuracy,val_loss,val_mean_io_u_6,val_precision_6,val_recall_6
0,0.8785734176635742,0.29896631836891174,0.25,0.7913028001785278,0.7127472162246704,0.907041072845459,0.2254778891801834,0.25,0.8050497174263,0.8398492932319641
1,0.9194492697715759,0.19648334383964539,0.25,0.8416699767112732,0.843400776386261,0.8789600729942322,0.2730085849761963,0.25,0.7040159106254578,0.9086942672729492
2,0.928158164024353,0.1758589893579483,0.25,0.8589396476745605,0.8600783944129944,0.9213114976882935,0.1976303607225418,0.25,0.8272577524185181,0.8749883770942688
3,0.9344252943992615,0.16173666715621948,0.25,0.8694402575492859,0.8747063279151917,0.9206112027168274,0.1907200813293457,0.25,0.8922879695892334,0.7842045426368713
4,0.9395303130149841,0.14901487529277802,0.25,0.8803061246871948,0.8834594488143921,0.9264440536499023,0.1750318855047226,0.25,0.904395580291748,0.7965545654296875
5,0.9412577748298645,0.1452285349369049,0.25,0.8824286460876465,0.8884781002998352,0.9444380402565002,0.13770842552185059,0.25,0.8822698593139648,0.9032460451126099
6,0.946953535079956,0.13120342791080475,0.2500007152557373,0.8933070302009583,0.8998667597770691,0.9179853200912476,0.19152948260307312,0.25,0.8174024224281311,0.8746585845947266
7,0.9486497044563293,0.1262211799621582,0.25,0.8959901928901672,0.9039655923843384,0.9333223104476929,0.16847622394561768,0.25,0.8432683348655701,0.9080139994621277
8,0.9529050588607788,0.11655128002166748,0.25,0.9034773707389832,0.9132494330406189,0.9323055744171143,0.17730942368507385,0.25,0.8970649838447571,0.8305782675743103
9,0.9527677893638611,0.1171155646443367,0.25000131130218506,0.9029210805892944,0.9133453965187073,0.9363756775856018,0.17259317636489868,0.25,0.8637503385543823,0.8918748497962952
